order_item_id,order_id,product_id,quantity,price_per_unit
19730,19730,6,1,1299.99
19558,19558,9,1,449.99
19563,19563,8,1,4999.99
18810,18810,9,1,449.99
19949,19949,9,1,449.99
19974,19974,10,1,329.99
20069,20069,6,1,1299.99
19700,19700,9,1,449.99
19545,19545,6,1,1299.99
20057,20057,4,1,249.99
19875,19875,10,1,329.99
19610,19610,1,1,199.99
19582,19582,4,1,249.99
18582,18582,3,1,249.99
19667,19667,2,1,549.99
19908,19908,7,1,1799.99
19623,19623,9,1,449.99
18096,18096,17,1,699.99
18624,18624,41,1,899.99
19661,19661,2,1,549.99
20036,20036,8,1,4999.99
19837,19837,6,1,1299.99
19713,19713,1,1,199.99
19519,19519,6,1,1299.99
19804,19804,1,1,199.99
18417,18417,35,1,279.99
19895,19895,7,1,1799.99
19927,19927,10,1,329.99
19676,19676,8,1,4999.99
19654,19654,8,1,4999.99
19658,19658,3,1,249.99
19585,19585,2,1,549.99
19647,19647,9,1,449.99
19682,19682,3,1,249.99
19963,19963,5,1,249.99
19800,19800,8,1,4999.99
19608,19608,4,1,249.99
20104,20104,4,1,249.99
19643,19643,5,1,249.99
19697,19697,9,1,449.99
19852,19852,3,1,249.99
19968,19968,10,1,329.99
19888,19888,5,1,249.99
18851,18851,32,1,179.99
19725,19725,8,1,4999.99
19687,19687,4,1,249.99
19951,19951,9,1,449.99
19738,19738,3,1,249.99
19842,19842,1,1,199.99
19715,19715,3,1,249.99
19641,19641,10,1,329.99
19766,19766,8,1,4999.99
19791,19791,2,1,549.99
19894,19894,1,1,199.99
19711,19711,3,1,249.99
19542,19542,5,1,249.99
19520,19520,10,1,329.99
19979,19979,10,1,329.99
19707,19707,7,1,1799.99
19856,19856,5,1,249.99
19450,19450,2,1,549.99
19146,19146,18,1,799.99
18086,18086,10,1,329.99
18317,18317,8,1,4999.99
18490,18490,45,1,1499.99
19028,19028,18,1,799.99
19004,19004,31,1,179.99
18664,18664,11,1,649.99
18756,18756,28,1,149.99
19064,19064,31,1,179.99
49,49,154,1,99.99
18376,18376,25,1,2499.99
18246,18246,40,1,2499.99
18370,18370,15,1,1099.99
19487,19487,42,1,719.99
19098,19098,8,1,4999.99
18935,18935,44,1,599.99
18779,18779,35,1,279.99
19260,19260,42,1,719.99
18571,18571,42,1,719.99
18847,18847,12,1,599.99
19079,19079,20,1,999.99
19178,19178,27,1,149.99
19243,19243,13,1,799.99
18218,18218,42,1,719.99
18118,18118,9,1,449.99
19449,19449,38,1,799.99
18580,18580,36,1,399.99
18867,18867,2,1,549.99
2366,2366,10,1,329.99
19047,19047,13,1,799.99
18813,18813,25,1,2499.99
6839,6839,100,1,449.99
18447,18447,42,1,719.99
18497,18497,34,1,279.99
6177,6177,230,1,1399.99
3947,3947,116,1,799.99
992,992,155,1,379.99
2250,2250,53,1,1899.99
4460,4460,235,1,29.99
945,945,105,1,149.99
4919,4919,62,1,399.99
1545,1545,117,1,139.99
6283,6283,143,1,119.99
2034,2034,3,1,249.99
5509,5509,202,1,249.99
4187,4187,242,1,2699.99
6378,6378,194,1,1599.99
5138,5138,73,1,999.99
3565,3565,86,1,329.99
4050,4050,150,1,699.99
5756,5756,28,1,149.99
406,406,101,1,79.99
5049,5049,45,1,1499.99
5450,5450,88,1,349.99
2316,2316,86,1,329.99
10072,10072,428,1,44.99
8815,8815,374,1,79.99
1120,1120,7,1,1799.99
4681,4681,176,1,949.99
4468,4468,65,1,1199.99
754,754,13,1,799.99
3159,3159,2,1,549.99
3074,3074,224,1,1299.99
11579,11579,204,1,299.99
1242,1242,205,1,399.99
9642,9642,149,1,229.99
7358,7358,377,1,49.99
8164,8164,201,1,69.99
9977,9977,546,1,14.99
6879,6879,363,1,59.99
19624,19624,1,1,199.99
20106,20106,6,1,1299.99
19755,19755,7,1,1799.99
19823,19823,9,1,449.99
20005,20005,3,1,249.99
19761,19761,5,1,249.99
19984,19984,2,1,549.99
20044,20044,2,1,549.99
