shipping_id,order_id,shipping_date,return_date,shipping providers,delivery_status
1,7136,2024-01-07,,dhl,Delivered
2,1107,2023-06-22,,bluedart,Delivered
3,2787,2023-01-01,,fedex,Delivered
4,1033,2022-11-25,,fedex,Delivered
5,19241,2022-09-13,,fedex,Delivered
6,6035,2021-07-11,,fedex,Delivered
7,1069,2023-04-29,,fedex,Delivered
8,4499,2023-03-07,,fedex,Delivered
9,11560,2022-11-12,,fedex,Delivered
10,17500,2022-01-22,,fedex,Delivered
11,14043,2021-10-16,,fedex,Delivered
12,1761,2020-09-12,,fedex,Delivered
13,11416,2020-03-10,,fedex,Delivered
14,4461,2024-01-26,,fedex,Delivered
15,3291,2023-09-29,,fedex,Delivered
16,8262,2023-04-07,,fedex,Delivered
17,11768,2021-07-30,,fedex,Delivered
18,17468,2023-08-15,,fedex,Delivered
19,12838,2022-07-04,,fedex,Delivered
20,14299,2022-04-08,,fedex,Delivered
21,9270,2021-01-26,,fedex,Delivered
22,16246,2020-11-01,,fedex,Delivered
23,837,2020-10-02,,fedex,Delivered
24,4429,2023-04-01,,fedex,Delivered
25,11566,2021-12-10,,fedex,Delivered
26,3893,2024-02-04,,fedex,Delivered
27,6581,2022-04-01,,fedex,Delivered
28,17054,2020-09-25,,fedex,Delivered
29,13553,2020-02-02,,fedex,Delivered
30,7110,2023-07-18,,fedex,Delivered
31,19741,2023-02-22,,fedex,Delivered
32,4899,2022-06-22,,fedex,Delivered
33,11288,2020-08-12,,fedex,Delivered
34,16726,2023-08-22,,fedex,Delivered
35,3017,2022-07-25,,fedex,Delivered
36,4613,2020-08-16,,fedex,Delivered
37,6651,2022-03-16,,fedex,Delivered
38,1463,2021-05-28,,fedex,Delivered
39,2771,2020-09-17,,fedex,Delivered
40,4133,2024-01-09,,fedex,Delivered
41,15994,2023-11-19,,fedex,Delivered
42,2923,2023-04-01,,fedex,Delivered
43,10330,2021-01-20,,fedex,Delivered
44,15351,2020-12-29,,fedex,Delivered
45,3829,2020-04-14,,fedex,Delivered
46,7618,2022-09-27,,fedex,Delivered
47,12556,2021-04-12,,fedex,Delivered
48,1705,2020-04-20,,fedex,Delivered
49,1859,2021-12-29,,fedex,Delivered
50,7404,2021-11-10,,fedex,Delivered
51,13507,2021-11-05,,fedex,Delivered
52,12246,2024-01-20,,fedex,Delivered
53,14153,2023-11-21,,fedex,Delivered
